Time;Iterations;Result;Maximum;Minimum;Average;warmUp
0:00:01;595;235.19188111981768;28337.755440069755;81.36785072343937;441.3473828760778;false
0:00:02;1644;759.6980027228033;33617.24214902927;81.36785072343937;620.2248349867214;false
0:00:03;2257;483.16731325968664;33617.24214902927;81.36785072343937;619.4729273032968;false
0:00:04;2941;832.2441753810122;33617.24214902927;81.36785072343937;624.2680771738919;false
0:00:05;3613;568.0145120891665;33617.24214902927;81.36785072343937;633.3813436522062;false
0:00:06;4407;1085.042942364765;33617.24214902927;81.36785072343937;650.1167261647412;false
0:00:08;5330;1262.4453758822535;33617.24214902927;81.36785072343937;683.2125173787736;false
0:00:09;6474;1146.434634716634;33617.24214902927;81.36785072343937;735.5724157584001;false
0:00:10;7543;1098.4015434650616;33617.24214902927;81.36785072343937;769.0439440839418;false
0:00:11;8618;655.2272935977512;33617.24214902927;81.36785072343937;797.6005848131528;false
0:00:12;9802;1167.8044760847831;33617.24214902927;81.36785072343937;828.3869405323384;false
0:00:13;10793;1075.0634338491484;33617.24214902927;81.36785072343937;840.3066362036196;false
0:00:14;11965;1291.4400845800274;33617.24214902927;81.36785072343937;859.7461575631733;false
0:00:15;13718;1593.4025486155085;33617.24214902927;81.36785072343937;919.415375467755;false
0:00:16;15594;2352.9809833724007;33617.24214902927;81.36785072343937;977.939170625901;false
0:00:17;17882;3048.3487932882676;33617.24214902927;81.36785072343937;1054.896409784212;false
0:00:18;20390;3384.376728781938;33617.24214902927;81.36785072343937;1135.3052125738757;false
0:00:19;23404;2949.983820813735;33617.24214902927;81.36785072343937;1233.1179669231258;false
0:00:20;26671;3509.663753856331;33617.24214902927;81.36785072343937;1334.853646826321;false
0:00:21;30101;3564.5493730545804;33617.24214902927;81.36785072343937;1434.1440376400647;false
0:00:22;33684;3402.448633403104;33617.24214902927;81.36785072343937;1531.3617872543846;false
0:00:23;37646;4436.101616005278;33617.24214902927;81.36785072343937;1636.8428033362038;false
0:00:24;42097;4898.850014554484;33617.24214902927;81.36785072343937;1753.683455141921;false
0:00:25;49194;6535.50005202258;250497.23701547572;81.36785072343937;1964.9763703826563;false
0:00:26;56683;4266.84416738403;278896.46247726993;81.36785072343937;2177.290390178713;false
0:00:27;64349;8858.2440887387;278896.46247726993;81.36785072343937;2379.602873089435;false
0:00:28;72299;3620.2714638835564;278896.46247726993;81.36785072343937;2578.3519996373543;false
0:00:29;80266;8843.066085559318;278896.46247726993;81.36785072343937;2763.669535094077;false
0:00:30;88300;8687.64896060099;278896.46247726993;81.36785072343937;2939.4972494445924;false
0:00:31;96191;7994.113135087322;278896.46247726993;81.36785072343937;3094.123589190886;false
0:00:32;104085;8381.882594299952;278896.46247726993;81.36785072343937;3243.4653168473365;false
0:00:33;112190;8776.780150434011;278896.46247726993;81.36785072343937;3390.1210414841803;false
0:00:34;120076;8637.431379926402;278896.46247726993;81.36785072343937;3521.7173993737665;false
0:00:35;127804;8803.230715246651;278896.46247726993;81.36785072343937;3641.4375183675347;false
0:00:36;135884;8707.298753863646;278896.46247726993;81.36785072343937;3764.310382083573;false
0:00:37;143968;8606.41932161793;278896.46247726993;81.36785072343937;3880.5818036044025;false
0:00:38;151932;8468.552833565074;278896.46247726993;81.36785072343937;3987.6607934041313;false
0:00:39;160550;14266.607222469906;316431.6634179682;81.36785072343937;4108.390541697726;false
0:00:40;169978;8510.60208254433;316431.6634179682;81.36785072343937;4218.996902392133;false
0:00:41;178020;8589.436693575368;316431.6634179682;81.36785072343937;4311.37663211541;false
0:00:42;186150;8743.337576766504;316431.6634179682;81.36785072343937;4401.439344829105;false
0:00:43;194174;8365.253047649903;316431.6634179682;81.36785072343937;4484.892762951642;false
0:00:44;202746;10229.278014488953;316431.6634179682;81.36785072343937;4576.200238884857;false
0:00:45;212501;15371.103002683487;316431.6634179682;81.36785072343937;4686.664558646136;false
0:00:46;221922;22959.808625403144;361547.2777297724;81.36785072343937;4785.839684631867;false
0:00:47;231694;171547.47833784216;361547.2777297724;81.36785072343937;4886.26025642586;false
0:00:48;238748;8155.4952828207515;361547.2777297724;81.36785072343937;4929.202624105016;false
0:00:49;245885;8910.021876776715;361547.2777297724;81.36785072343937;4973.7063017400515;false
0:00:50;253876;4642.045597235606;361547.2777297724;81.36785072343937;5033.571664144277;false
0:00:51;261873;9017.49195053581;361547.2777297724;81.36785072343937;5090.944126124914;false
0:00:52;269969;8356.278979053232;361547.2777297724;81.36785072343937;5148.234640032589;false
0:00:53;278040;5703.81253667195;361547.2777297724;81.36785072343937;5203.156254498198;false
0:00:54;286190;9270.518647509201;361547.2777297724;81.36785072343937;5256.459323295999;false
0:00:55;294214;8677.577157978936;361547.2777297724;81.36785072343937;5306.144800207301;false
0:00:56;302945;20609.33561684772;361547.2777297724;81.36785072343937;5366.014250498172;false
0:00:57;311422;9164.75955657594;361547.2777297724;81.36785072343937;5417.6229094319415;false
0:00:58;318928;6219.786222215671;361547.2777297724;81.36785072343937;5453.387459325315;false
0:00:59;326764;8753.10297500464;361547.2777297724;81.36785072343937;5493.1198271782805;false
0:01:00;334784;8870.973465144172;361547.2777297724;81.36785072343937;5534.681620992914;false
0:01:01;342580;8716.739862584081;361547.2777297724;81.36785072343937;5571.054717839885;false
0:01:02;350667;8235.340332439277;361547.2777297724;81.36785072343937;5610.38140946634;false
0:01:03;358649;7814.397433376792;361547.2777297724;81.36785072343937;5647.590202010779;false
0:01:04;366822;9893.332072263272;361547.2777297724;81.36785072343937;5686.094980670834;false
0:01:05;376152;4676.946032813266;361547.2777297724;81.36785072343937;5740.810977882778;false
0:01:06;385733;16015.438883083292;361547.2777297724;81.36785072343937;5793.9841169391775;false
0:01:07;395520;14218.43468399458;361547.2777297724;81.36785072343937;5849.474998894572;false
0:01:08;405293;16570.87046451133;383350.32853123156;81.36785072343937;5904.8955644878315;false
0:01:09;414551;16511.82155608397;383350.32853123156;81.36785072343937;5948.427288025849;false
0:01:10;424145;7281.426856756567;383350.32853123156;81.36785072343937;5996.577058607688;false
0:01:12;433880;17766.20526647176;383350.32853123156;81.36785072343937;6045.463788642316;false
0:01:13;443899;23605.371071712176;383350.32853123156;81.36785072343937;6094.529000376495;false
0:01:14;453514;14486.52861487781;383350.32853123156;81.36785072343937;6139.39624150564;false
0:01:15;462772;18618.392402355377;383350.32853123156;81.36785072343937;6177.410752575772;false
